소분류,발생,검거,검거비율
선박직원법,639,375,0.586854
성매매방지및피해자보호등에관한법률위반,17,16,0.941176
성매매알선등행위의처벌에관한법률위반(성매매),7268,7177,0.987479
성매매알선등행위의처벌에관한법률위반(성매매강요등),29,29,1.000000
성매매알선등행위의처벌에관한법률위반(성매매광고),161,131,0.813665
성매매알선등행위의처벌에관한법률위반(성매매알선등),3998,3969,0.992746
성매매알선등행위의처벌에관한법률위반(아동·청소년),2,2,1.000000
성매매알선등행위의처벌에관한법률위반(기타),3802,3759,0.988690
성폭력범죄의처벌등에관한특례법(기타),2853,2719,0.953032
소방기본법,40,40,1.000000
수도법,118,111,0.940678
수산업법,3833,3840,1.001826
신앙에관한죄,263,227,0.863118
신용정보의이용및보호에관한법률,43,36,0.837209
실화및업무상실화죄,2019,1635,0.809807
아동·청소년의성보호에관한법률위반(강요행위등),64,63,0.984375
아동·청소년의성보호에관한법률위반(매매),8,6,0.750000
아동·청소년의성보호에관한법률위반(성매수등),247,239,0.967611
아동·청소년의성보호에관한법률위반(알선영업행위등),87,87,1.000000
아동·청소년의성보호에관한법률위반(기타),349,308,0.882521
아동복지법위반(유기·학대 등),1537,1516,0.986337
아동복지법(기타),1575,1552,0.985397
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),41,41,1.000000
아동학대처벌법위반(유기·학대 등),17,17,1.000000
아동학대처벌법위반(처분 불이행 등),20,20,1.000000
아동학대처벌법위반(기타),53,53,1.000000
액화석유가스의안전및사업관리법,95,91,0.957895
양곡관리법,5,5,1.000000
여객자동차운수사업법,1116,1083,0.970430
여권법,43,34,0.790698
영해및접속수역법,21,21,1.000000
영화및비디오물의진흥에관한법률,21,21,1.000000
옥외광고물법위반,1005,896,0.891542
위증죄,2016,1717,0.851687
위치정보의보호및이용등에관한법률,84,79,0.940476
유기와학대의죄,168,90,0.535714
유선및도선사업법,251,249,0.992032
음반·비디오물및게임물에관한법률,2,2,1.000000
음악산업진흥에관한법률,6659,6625,0.994894
인질강요·살해·상해,2,2,1.000000
일수와수리에관한죄,4,4,1.000000
자동차관리법,25754,24685,0.958492
자동차손해배상보장법,27734,26435,0.953162
자연공원법,112,110,0.982143
장물에관한죄,2043,2075,1.015663
장사등에관한법률,74,68,0.918919
재난및안전관리기본법,6,5,0.833333
전기통신기본법,295,277,0.938983
전파법,118,81,0.686441
정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),94,81,0.861702
정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),5244,3901,0.743898
정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),1864,817,0.438305
